Music;Musik
Sequencer;Sequenzer
Serialism;Serielle Musik
Sixth and Ninth Chords;Sext- und Nonakkorde
Sibelius;Sibelius
Singing, including diction, sounds & techniques;Singen inklusive Ausdrucksweise, Töne & Techniken
Human;Singstimme
Skalkotas;Skalkottas
Scriabin;Skrjabin
Concerto;Solokonzert
Sonata ;Sonate
Soprano;Sopran
Treble ;Sopran
Space ;Space Music
Late Romantic era;Spätromantik
Playing instruments: sounds & techniques;Spielen von Instrumenten: Töne und Techniken
Staccato ;Staccato
Stamitz;Stamitz
Voice;Stimme
Tuning;Stimmung
Street music;Straßenmusik
Strauss;Strauß
Streaming ;Streaming
String Quartet;Streichquartett
Symphony ;Symphonie
Symphonic Poem;Symphonische Dichtung
Symphonic Music;Symphonische Musik
Synthesizer;Synthesizer
Synthesizer / Electric Piano;Synthesizer / elektrisches Klavier
Bar  ;Takt
Measure;Takt
Time Signature;Taktangabe
Beat ;Taktschlag
Tambourine;Tamburin
Keyboards;Tasteninstrumente
Telemann;Telemann
Tempo;Tempo
Tenoro;Tenor
Theatre;Theater
Theatre Music;Theatermusik
Tonality;Tonalität
Sound analysis;Tonanalyse
Tonality ;Tonart
Tonality/harmony;Tonart / Harmonik
Tape recording;Tonbandaufnahme
Sound recognition;Tonerkennung
Pitch;Tonhöhe
Pitch ;Tonhöhe
Pitch/melody;Tonhöhe / Melodie
Tonic ;Tonika
Scale ;Tonleiter
Sound oscillator / Envelope;Tonoszillator
Triangle;Triangel
Trio ;Trio
Triplet;Triole
Trumpet;Trompete
Troubadours and trouvères;Troubadours und Trouvères
Tchaikovsky;Tschaikowski
Tuba;Tuba
Practising;Übungen
Ukulele;Ukulele
Verdi;Verdi
Diminished and Augmented Triads;Verminderte und übermäßige Dreiklänge
Music Videoconference Loop;Videokonferenz-Kette zum Komponieren
Crotchet;Viertelnote
Quarter note;Viertelnote
Crotchet rest;Viertelpause
Hemidemisemiquaver ;Vierundsechzigstel
Sixty-fourth note  ;Vierundsechzigstelnote
Sixty-fourth note rest;Vierundsechzigstelpause
Viola;Viola
Violin;Violine
Vivaldi;Vivaldi
Vocal Music;Vokalmusik
Traditional Music;Volksmusik
Key Signature;Vorzeichen
Table of Key Signature;Vorzeichentabelle
Wagner;Wagner
French Horn;Waldhorn
WAV;WAV
Waves;Wellen
Waveforms;Wellenformen
Wave nodes;Wellenknoten
Repeat Sign;Wiederholungszeichen
Xenakis;Xenakis
Xylophone;Xylophon
Contemporary;Zeitgenössische Musik
Ceremony;Zeremonie
Zither;Zither
Auditorium;Zuhörerraum
Demisemiquaver;Zweiunddreißigstelnote
Thirty-second note ;Zweiunddreißigstelnote
Demisemiquaver rest;Zweiunddreißigstelpause
Thirty-second note rest;Zweiunddreißigstelpause

