ICT;IKT
Public information systems;Öffentliche Informationssysteme
Online identity;Online-Identität
Open Source;Open Source
Password security;Passwortsicherheit
PHP;PHP
Planning what data to record;Planung der Datenerfassung
Sequencing;Planung von Abläufen
Plausibility;Plausibilität
Podcast;Podcast
Presentation;Präsentation
Presentation software;Präsentationssoftware
Privacy and personal information;Privatsphäre und persönliche Information
Programmable toy;programmierbares Spielzeug
Programming;Programmieren
Programming language;Programmiersprache
Procedures/macros/templates;Prozesse / Makros / Templates
Processor;Prozessor
Quality & accuracy;Qualität & Präzision
Health & safety legislation;Rechtsvorschriften zu Sicherheits- & Gesundheitsschutz
Reference material;Referenzen
Reflecting on ICT in society;Reflexionen zu IKT in der Gesellschaft
Robotics;Robotik
Collecting information;Sammlung von Informationen
Malicious code;Schädlicher Code
Screencast;Screencast
Security for Electronic Transaction - SET;Secure Electronic Transaction - SET
Security Administrator;Security-Administrator
Sensors & software Appropriate/not appropriate;Sensoren & Software: geeignet / ungeeignet
Safe searching;Sichere Suche
Using IT safely;Sichere Verwendung von IKT
Security;Sicherheit
Security, password selection & protection;Sicherheit, Passwortwahl & Schutz
Security, accuracy & plagiarism;Sicherheit, Richtigkeit & Plagiat
Security technology;Sicherheitstechnologie
Security Breach/Incident;Sicherheitsverstoß
Simulating;Simulation
Software;Software
Sound;Sound
Social networking;Soziales Netzwerk
Spam;Spam
Memory;Speicher
Storage devices;Speichergeräte
Storing & retrieving data;Speicherung & Abrufung von Daten
Record information/data using ICT;Speicherung von Informationen/Daten unter Verwendung von IKT
Games & gaming machines;Spiele & Spielgeräte
Voice/fax/data modems;Sprach- / Fax- / Datenmodems
Language;Sprache
Controlling;Steuerung
Control concepts;Steuerungskonzepte
Control technology;Steuerungstechnik
Search;Suche
Search techniques;Suchtechniken
Systems;Systeme
Systems in context;Systeme im Zusammenhang
Structure of systems;Systemstruktur
Everyday use;Tägliche Verwendung
Keyboard Mouse;Tastatur, Maus
Technological education;Technische Bildung
Technology;Technologie
Changing technologies;Technologien im Wandel
Technological change;Technologischer Wandel
Terminology;Terminologie
Database terminology & definitions;Terminologie und Definitionen von Datenbanken
Text;Text
Processing text & images;Text- und Bildbearbeitung
Contextualised use of text/image processing;Text-/Bildbearbeitung im Kontext
Word processing software;Textverarbeitungssoftware
Sounds;Ton
Tape-recorders;Tonbandgeräte
Trojan;Trojaner
Working independently;Unabhängiges Arbeiten
Research a problem using ICT;Untersuchung eines Problems unter Verwendung von IKT
Uploading websites;Upload von Webseiten
Connecting computer parts;Verbindungsteile für den Computer
Relationships & rules;Verknüpfungen & Regeln
Reliance on ICT & risk assessment;Verlässlichkeit von IKT & Risikoanalyse
Linked databases & database structures;Verlinkte Datenbanken & Datenbankstrukturen
Publishing on the web;Veröffentlichungen im Web
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Verständnis für das Erfordernis, Informationen gemäß ihrem Zweck, ihrem Autor, ihrer Verbreitung und ihrem Kontext zu analysieren
Understanding of hardware and software;Verständnis von Hardware und Software
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Verständnis von Risiko-, Sicherheits- und Zuständigkeitsfragen rund um IKT
Understanding of terminology;Verstehen der Terminologie
Confidentiality issues;Vertraulichkeit
Use & misuse of data;Verwendung und Missbrauch von Daten
Using images & text;Verwendung von Bildern und Texten
Use of queries, forms, reports, macros;Verwendung von Fragebögen, Eingabemasken, Berichten, Makros
Using ICT;Verwendung von IKT
Video;Video
Video & audio;Video & Audio
Video conferencing;Videokonferenz
Video recorders;Videorekorder
Virtual reality;Virtuelle Realität
Virus;Virus
Vocabulary;Vokabular
Advantages & disadvantages;Vor- & Nachteile
Benefits & problems of data collection;Vor- und Nachteile von Datensammlungen
Benefits & problems;Vorteile & Probleme
What if scenarios, ICT in action;Was-wenn-Szenarien, IKT in Verwendung
Web 2.0;Web 2.0
Web 2.0 tools;Web-2.0-Tools
Internet based entertainment;webbasierte Unterhaltung
Web development;Web-Entwicklung
Website;Website
Web technologies;Webtechnologien
Advertising;Werbung
Wide Area Network;Wide Area Network (WAN)
Dictionary;Wörterbuch
Numbers;Zahlen
Number bases;Zahlenbasen
Number conversion;Zahlenkonvertierung
Access Control;Zugriffsbeschränkung
Access Control List;Zugriffskontrollliste
Access Rights;Zugriffsrechte
Collate, analyse & evaluate information/data using ICT;Zuordnung, Analyse & Evaluierung von Informationen/Daten unter Verwendung von IKT
Collaboration;Zusammenarbeit
Computer addition;Zusätzliche Bausteine für den Computer

