TwoD coordinates;2D Koordinaten
Parallel projection;Parallelprojektion
Permutations;Permutationen
Platonic solid;Platonischer Krper
Polar Coordinates;Polarkoordinaten
Polyhedron;Polyeder
Polyhedron truncating;Polyeder stutzed
Polyhedron dualize;Polyeder verdoppeln
Polyhedron movement;Polyeder Verschiebung
Polyhedron composition;Polyederaufbau
Polyhedron deformation;Polyederdeformation
Polyhedron unfold;Polyedernetz erstellen
Polyhedron transformation;Polyederumformungen
Polyhedron decomposition;Polyederzerlegung
Polynomial function;Polynomfunktion
Polynomial Inequality;Polynomiale Ungleichung
Power;Potenz
Primes;Primzahlen
Distribution of primes;Primzahlverteilung
Prism;Prisma
Programmable Calculator;programmierbarer Taschenrechner
Projection;Projektion
Percentage;Prozentsatz
Reflection in a point;Punktspiegelung
Pyramid;Pyramide
Cuboid;Quader
Quadratic function;quadratische Funktion
Quadratic Equation;Quadratische Gleichung
Square root;Quadratwurzel
Square Number;Quadratzahl
Rational Function;Rationale Funktion
Linear Rational Function;rationale lineare Funktion
Rational Inequality;Rationale Ungleichung
Rational Number;rationale Zahl
Real number;reelle Zahl
Relative frequency;relative Hufigkeit
Representativity;Reprsentativitt
Rotation;Rotation
Revolution Solid;Rotationskrper
RevolutionSolid;Rotationskrper
Histogram;Sulendiagramm
Diagram;Schaubild
Disc;Scheibe
Skewness;Schiefe
Intersections with the axis;Schnittpunkte mit der x;y- Achse
Variability;Schwankungen
Variability measure;Schwankungsma§
Sector chart;Sektorendiagramm 
Orthogonal projection;senkrechte Projektion
Orthogonal projection of solid;senkrechte Projektion bon Krpern
Simulation;Simulation
Sine;Sinus
Inner product spaces;Skalarproduktrume 
Software Tools;Software Tools
Reflection;Spiegelung
Equation of a spiral;Spiralengleichung
Standard deviation;Standardabweichung
Statistics;Statistik
Summary statistics;Statistiksummarium
Statistical analysis;statistische Analyse
Statistical data;statistische Daten
Statistical table;statistische Tabelle
Bias;Statistische Verzerrung
Statistical range;statistischer Bereich
Reduction;Stauchung
Gradient;Steigungsvektor
Continuity and discontinuity;Stetigkeit und Unstetigkeit
Scale factor;Streckfaktor
Ampliation;Streckung
Spread;Streubreite
Cumulative frequency;Summenhufigkeit
Symbol;Symbol
Symbolic Expression;symbolischer Ausdrucks
Symmetry plane;Symmetrieebene
Table;Tabelle
Double entry table;Tabelle mit doppeltem Eingang
Table with several columns;Tabelle mit mehreren Spalten
Spreadsheet Software;Tabellenkalkulationsprogramm
Tangent of angle;Tangens
Calculator;Taschenrechner
Pigeonhole Principle;Taubenschlagprinzip 
Divisibility;Teilbarkeit
Tetrahedron;Tetraeder
Word problem;Textaufgabe
Transformation;Transformation
Translation;Translation
Trigonometric function;trigonometrische Funktion
Trigonometric ratio;trigonometrisches Verhltnis
Fallacy;Trugschluss
Algebraic Manipulation;Umgang mit algebraischen Ausdrcken
Circumcircle;Umkreis
Unbounded Operators;unbegrenztes Operator
Inequality General;Ungleichheit im allgemeinen
Inequality;Ungleichhung
Lower bound;unterer Grenzwert
Venn Diagrams;Venn-Diagramm
Movement;Verschiebung
Experiments;Versuche
Quartile;Viertelwert
Volume;Volumen
Formula for volume;Volumenformel
Template;Vorlage
Cube;Wrfel
Probability;Wahrscheinlichkeit
Probability density;Wahrscheinlichkeitsdichte
Probability distribution;Wahrscheinlichkeitsverteilung
Tool;Werkzeug
Table of values;Wertetabelle
Proof by contradiction;Widerspruchsbeweis
Bisector-Plane;winkelhalbierenden Ebene
Protractor;Winkelmesser
x coordinate of point;x-Koordinate
y-coordinate of point;y-Koordinate
Number;Zahl
Number Theory;Zahlentheorie
Ratio of numbers;Zahlenverhltnis
Perspective projection;Zentralprojektion
Compass;Zirkel
Random sample;Zufallsauswahl
Random sampling;Zufallsstichprobe
Random variable;Zufallsvariable
Random process;Zufallsverfahren
Complex event;zusammengesetztes Ereignis
Equation of a cycloid;Zykloidengleichung
Cylinder;Zylinder

