Rational Inequality;Ratsionaalarvu võrratus
Rational Function;Ratsionaalfunktsioon
Rational Inequality;Ratsionaalvõrratus
Real Analysis;Reaalanalüüs
Real number;Reaalarv
Recursion;Rekursioon
Representativity;Representatiivsus
Circle;Ring
Circular chart;Ringdiagramm
Orthogonal projection;Ristprojektsioon
Cuboid;Risttahukas
Volume;Ruumala
Formula for volume;Ruumala valem
Square Number;Ruutarv
Quadratic function;Ruutfunktsioon
Square root;Ruutjuur
Quadratic Equation;Ruutvõrrand
Quadratic Inequality;Ruutvõrratus
Frequency;Sagedus
Frequencies;Sagedused
Polygon of frequencies;Sageduspolügoon
Frequency diagram;Sagedustabel
Frequency diagram;Sageduste diagramm
Identity;Samasus
Pie chart;Sektordiagramm
Sector chart;Sektordiagramm
Sphere;Sfäär
Signal Analysis;Signaalanalüüs
Sine;Siinus
Cylinder;Silinder
Simulation;Simulatsioon
Reflection in a line;Sirge peegeldus
Equation of a straight line;Sirgjoone võrrand
Compass;Sirkel
Dependency relation;Sõltuvusseos
Equation of a spiral;Spiraali võrrand
Statistics;Statistika
Statistics and Probability;Statistika ja tõenäosus
Statistical analysis;Statistiline analüüs
Statistical table;Statistiline tabel
Statistical range;Statistiline valik
Statistical data;Statistilised andmed
Relative frequency;Suhteline sagedus
Symbol;Sümbol
Symbolic Expression;Sümbolavaldis
Symbolic Expression;Sümboolne avaldis
Summary statistics;Summaarne statistika
Symmetry plane;Sümmeetriatelg
Event;Sündmus
Solutions of Systems;Süsteemilahend
Table;Tabel
Table with several columns;Tabel mitme tulbaga
Spreadsheet Software;Tabelarvutustarkvara
Integer;Täisarv
Software Tools;Tarkvaralised vahendid
Plane;Tasand
Reflection in a plane;Tasandi peegeldus
Equation of a plane;Tasandi võrrand
Science;Teadus
Topic from Subjects;Teemad
Factorization;Teguriteks lahutamine
Translation;Teisendus
Word problem;Tekstülesanne
Intersections with the axis;Telgede ristumiskoht
Complex event;Terviksündmus
Tetrahedron;Tetraeeder
Conditional probability;Tinglik tõenäosus
Probability;Tõenäosus
Probability distribution;Tõenäosusjaotus
Probability density;Tõenäosustihedus
Proof Randomness;Tõestatus juhuslikkuses
Proof;Tõestus
Coloring Proof;Tõestus graafi värvimise läbi
Methods of Proof;Tõestusmeetodid
Bound;Tõke
Unbounded Operators;Tõkestamata operaatorid
Bounded operators;Tõkestatud operaatorid
Transformation;Tranformatsioon
Transformation;Transformatsioon
Trigonometric function;Trigonomeetriline funktsioon
Trigonometric ratio;Trigonomeetriline suhtarv
Equation of a cycloid;Tsükloidi võrrand
Piecewise-function;Tükati funktsioon
Bar chart;Tulpdiagramm
Histogram;Tulpdiagramm
Linear Inequality With One Variable;Ühe muutujaga lineaarvõrratus
Common frequency;Üldsagedus
Inequality General;Üldvõrratus
Upper bound;Ülemtõke
Formula for length;Ümbermõõdu valem
Circumcircle;Ümberringjoon
Table of values;Väärtuste tabel
Spread;Vahe
Tool;Vahend
Reduction;Vähendamine
Formula;Valem
Sample;Valim
Variability;Varieeruvus
Variability measure;Varieeruvuse määr
Counterexample;Vastunäide
Proof by contradiction;Vastuväiteline tõestus
Error in a plot;Veamäär diagrammis
Venn Diagrams;Venni diagramm
Outlier;Võõrväärtus
Equality;Võrdsus
Equality;Võrdus
Equations;Võrrandid
Solutions of Equations;Võrrandilahend
System of equations;Võrrandisüsteem
Inequality;Võrratus

