Africa;Aafrika
Natural population change;rahvuslik populatsiooni muutus
National scale;rahvuslik tase
National park ;rahvuspark
International scale;rahvusvaheline skaala
Rockets;rakett
Cell structure;raku struktuur 
Cell types – other;raku tüübid – muu
Cell types - generally;raku tüübid – üldiselt
Cell processes - generally;Rakuprotsessid – üldiselt
Nucleus: protons, neutrons;rakutuum: prootonid, neutronid
Coasts;rannikualad
Transport of reactants/products;reaktantide transport / tooted
Jets;reaktiivlennuk
Reactions with metals;reaktsioonid metallidega
Reaction rates;reaktsioonide määrad
Patterns in reactions;reaktsioonide mustrid
Reactivity series;reaktsioonivõime seeriad
Refraction;refraktsioon
Refraction index;refraktsiooni indeks
regional geography ;regionaalne geograafia
regional language ;regionaalne keel
Regional scale;regionaalne skaala
Theory of relativity;relatiivsusteooria
Pollution ;reostus
Effects of resource use;ressursi kasutamise mõjud
Sources of resources;ressursside allikad
Planning & management of resources;ressursside planeerimine ja haldamine
Supply of resources;ressursside varu
Differences in development between countries;riikidevahelised erinevused arengus
Circular motion;ringliikumine
Transverse waves;ristlained
Robotics;robootika
Pressure;rõhk
More economically developed countries;rohkem ökonoomiliselt arenenud riigid
X-rays;röntgenikiired
Reptile;roomaja
Rotation;rotatsioon
Spatial heterogeneity;ruumiline heterogeensus
Spatial information;ruumiline informatsioon
Spatial interpolation;ruumilised lisandused
Spatial transformations;ruumilised muudatused
Spatial interactions;ruumilised suhted
Spatial properties;ruumilised valikud
Island ;saar
Port ;sadam
Density waves;sageduslained
Satellite images;satelliidi pildid
Satellites: natural satellites;satelliidid: looduslikud satelliidid
Satellites: artificial satellites;satelliidid: tehissatelliidid
Digestive System;seedeelundid
Seeds;seemned
Mixtures;segud
Seismic waves;seismilised lained
seismology;seismoloogia
Changes of state;seisundi muutused
Vertebrate;selgroogne
Invertebrate;selgrootu
Sensors;sensorid
Bonding – generally;sidemed – üldiselt
Transition metals;siirdemetallid
Rectilinear motion;sirgjooneline liikumine
Internal Energy;sisemine energia
Internal Structure;sisemine struktruur
Endocrine System;sisesekretsiooni süsteem
Skeleton and muscles;skelett ja musklid
Zodiacal light;sodiaagi valgus
Zodiac;sodiaak
Sex determination;soo määratlemine
Thermal decomposition;soojuse teel lagunemine
social geography ;sotsiaalne geograafia
Sperm;sperma
Spiral galaxy;spiraalgalaktika
Standard model ;standardne mudel
Statistical mechanics;statistiline mehaanika
Heart;süda
Cardiovascular;südame-veresoonkonna
Melting/boiling points;sulatamine / keemise punktid
Synchrontron radiation ;sünkrotroni radiatsioon
Supernova;Supernova
Supernova remnants;Supernova jäänused
Supersymmetry ;supersümmeetria
Carbon;süsinik
Carbon and nitrogen cycles;süsiniku ja lämmastiku protsessid
Hydrocarbons;süsivesinik
Big Bang;Suur Pauk
Grand unification ;suur ühendamine
Recycling ;taaskasutus
Reversible reactions;taastavad reaktsioonid
Renewable energy;taastuvenergia
Renewable energy ;taastuvenergia
Star chart;taevakaart
Stars;tähed
Solid State Chemistry;tahke keha füüsika
Solids, liquids and gases;Tahked ja vedelad ained ning gaasid
Interstellar medium;tähtedevaheline meedium
Constellations;tähtkujud
Plants;taimed
Plant nutrition and growth;taimede väetamine ja kasv
Taxonomy;taksonoomia
Plain ;tasane
Background radiation;taustakiirgus
Scientists and inventors;teadlased ja leiutajad
Science: historical and contemporary examples;teadus: ajalooline ja tänapäeva teadus
History of Science and Technology;Teaduse ja tehnoloogia ajalugu
Tools for science;Teaduslikud vahendid
Technological applications;Tehnilised rakendused
Escape velocity;teine kosmiline kiirus
Second scientific revolution;teine teaduslik revolutsioon
Other geomorphological processes;teised geomorfoloogilised protsessid
Other influences on ecosystems;teised mõjud ökosüsteemidele
Other types of bonding;teised sidemete tüübid
Textiles;tekstiilid
Tectonic processes;tektoonilisd protsessid
Tectonic hazards & human responses;tektoonilised ohud ja inimeste reageerimine neile
Telecommunications;telekommunikatsioon
Temperature and heat;temperatuur ja kuumus
Thermodynamic Cycle;termdünaamiline tsükkel
Thermodynamics;termodünaamika
Laws of Thermodynamics;termodünaamika seadused
Thermometers;termomeetrid
Density;tihedus
Food chain;toiduahel
Food chains and webs;toiduahelad ja -võrgud
