Combining software tools to produce a system;tarkvara vahendite ühendamine süsteemi loomiseks
Developments in software & hardware & their impact;tarkvara, riistvara areng ning nende mõju
Awareness-raising activities;teadlikkuse tõstmise tegevused
Artificial intelligence;tehisintelligents
Engineering;tehnika
Technology;Tehnoloogia
History of technology;tehnoloogia ajalugu
Changing technologies;tehnoloogiate muutmine
Technological education;tehnoloogiline haridus
Technological change;tehnoloogiline muutus
Text;tekst
Processing text & images;Teksti töötlus ja pildid
Terminology;terminoloogia
Understanding of terminology;terminoloogia mõistmine
Health & safety legislation;tervis ja ohutusseadustik
Testing;testimine
Present work effectively;töö efektiivne esitlemine
Working with cameras & video;töö kaamera ja videoga
Working with mobile technology;töö mobiilse tehnoloogiaga
Desktop publishing software;töölaual avaldamise tarkvara
Trojan;trooja
Future developments;tuleviku arendused
Security;Turvalisus
Security, password selection & protection;turvalisus, parooli valik ja kaitse
Security, accuracy & plagiarism;turvalisus, täpsus ja plagiaat
Security Administrator;turvalisuse administraator
Security Breach/Incident;turvalisuse rikkumine / intsident
Security technology;turvalisustehnika
Plausibility;usutavus
Newsletter, poster, flyer production;uudiskirjad, postrid, flaierite loomine
New technologies & tools;uued tehnoloogiad ja vahendid
Research a problem using ICT;uuri probleemi IKT vahendeid kasutades
Gadgets;väike tööriist
Select and use ICT tools and techniques appropriately, safely and efficiently;vali ja kasuta IKT vahendeid ja tehnikaid õigesti, turvaliselt ja efektiivselt
Select from and add to information for particular purposes;vali ja lisa informatsiooni kindlatel puhkudel
Combating ICT & IT crime;väljakutsuv IKT ja IT kuritegu
Printout;väljatrükk
Output;väljund
liquid crystal display panels;vedel kristallekraani paneel
Web development;veebi arendus
Website design features;veebilehe disaini tunnused
Website;veebileht
Creating websites;veebilehtede loomine
Uploading websites;veebilehtede üleslaadimine
Publishing on the web;Veebis avaldamine
Web technologies;veebitehnoloogiad
Chat;vestlus
Video;video
Video & audio;video ja audio
Video conferencing;videokonverents
Video recorders;videomakk
Virus;viirus
Anti-Virus Program;viirustõrje programm
Reference material;Viited
Virtual reality;virtuaalne tõelisus
Flow chart;voodiagramm
Network;võrgustik
Web 2.0;Web 2.0
Web 2.0 tools;Web 2.0 vahendid
Wide Area Information Servers (WAIS);Wide Area Information Servers (WAIS)

