Mathematics;Matematika
Statistical analysis;Statistinė analizė
Statistical table;Statistinė lentelė
Statistical data;Statistiniai duomenys
Statistical range;Statistinis diapazonas
Complex Analysis;Sudėtinga analizė
Complex event;Sudėtingas įvykis
Bound;Sujungimas
Construct with ruler and compass;Sukonstruoti su liniuote ir kompasu
Reduction;Sumažinimas
Data collect;Surinkti duomenys
Bound;Susiję
Intersections with the axis;Susikirtimo su ašimi taškai
Integer;Sveikasis skaičius
Applied Mathematics;Taikomoji matematika
Identity;Tapatingumas
Identity;Tapatumas
Coordinates of a point;Taško koordinatės
x coordinate of point;taško x koordinatė
y-coordinate of point;taško y koordinatė
Topic from Subjects;Temos
Continuity and discontinuity;Tęstinumas ir netęstinumas
Continuity and discontinuity;Tęstinumas ir pabaiga
Linear Algebra – Number Theory;Tiesinė algebra - skaičių teorija
Linear expression;Tiesinė išraiška
Linear Equation;Tiesinė lygtis
Linear Inequality;Tiesinė nelygybė
Linear Inequality With One Variable;Tiesinė nelygybė su vienu kintamuoju
Linear problems;Tiesiniai uždaviniai
Linear equations system;Tiesinių lygčių sistema
Direct Proof;Tiesioginis įrodymas
Equation of a straight line;Tiesios linijos lygtis
Probability;Tikimybė
Probability density;Tikimybės dažnis
Probability distribution;Tikimybės išsidėstymas
Science;Tikslieji mokslai
Transformation;Transformacija
ThreeD Object;Tridimencinis objektas
Trigonometric function;Trigonometrijos funkcija
Trigonometric ratio;Trigonometrijos santykis
Trigonometric ratio;Trigonometrinis santykis
ThreeD Object;Trijų-dimensijų objektas
ThreeD coordinates;Trimatės koordinatės
Fraction;Trupmena
Formula for volume;Tūrio formulė
Problems from other subjects;Uždaviniai iš kitų temų
Real world problem;Uždavinys iš gyvenimiškos situacijos
Word problem;Uždavinys iš gyvenimiškos situacijos
Word problem;Uždavinys iš gyvenimo
Venn Diagrams;Veno diagramos
Translation;Vertimas
Inner product spaces;Vidiniai produktų skyriai
Mean;Vidurkis
Median-number;Vidutinis skaičius
Mean variation ratio of a function in an interval;Vidutinis variacijos santykis funkcijos intervale
Local and global description of a plot;Vietinis ir bendras ploto apibūdinimai
Upper bound;Viršutinė riba
Game Theory;Žaidimų teorija
Circular chart;Žiedinė diagrama
Circular chart;Žiedinės diagrama

