Composing, creating & developing;Rašyti, kurti ir plėtoti
Ravel;Ravel
Re;Re
Recital ;Rečitalis
Reicha;Reicha
Rehearsing;Repetavimas
Beat ;Ritmas
Rhythm ;Ritmas
Rhythm (duration), pulse/beat;Ritmas, ritmas
Rossini ;Rossini
Saint Saens;Saint Saens
Saxophone;Saksofonas
Relative Minor & major ;Santykinis minoras ir mažoras
Schoenberg;Schoenberg
Schubert;Schubert
Schumann;Schumann
Scriabin;Scriabin
Sequencer;Sekvenceris
Serialism;Serializmas
Hemidemisemiquaver ;Šešiasdešimt ketvirta nata
Sixty-fourth note  ;Šešiasdešimt ketvirta nata
Sixty-fourth note rest;Šešiasdešimt ketvirtas intervalas
Sixteenth note;Šešiolikta nata
Semiquaver;Šešioliktinė
Sixth and Ninth Chords;Šešta ir devinta styga
Si;Si
Ti;Si
Sibelius;Sibelius
Symphony ;Simfonija
Symphonic Music;Simfoninė muzika
Symphonic Poem;Simfoninė poema
Digital sound recording;Skaitmeninio garso įrašymas
Digital sound editing;Skaitmeninio garso redagavimas
Digital Audio Recorder;Skaitmeninis garso įrašymas
Scale ;Skalė
Skalkotas;Skalkotas
Violin;Smuikas
Sociomusicology;Sociomuzikologija
Sol;Sol
Sonata ;Sonata
Snare Drum;Šoninis būgnas
Soprano;Sopranas
Staccato ;Stakato
Stamitz;Stamitz
General styles & traditions;Stiliai ir tradicijos
Strauss;Strauss
Structure: form;Struktūra: forma
Strings;Styginiai
String Quartet;Styginių kvartetas
Tuning;Suderinimas
Tie ;Sujungti
Diminished and Augmented Triads;Sumažintos ir padidintos trigarsės
Sus2 and sus4 Chords;Sus2 and sus4 stygos
Saint Romanos the Melodist;Šv. Romanas Metodistas
Bar  ;Taktas
Measure;Taktas
Tambourine;Tambūrinas
Tchaikovsky;Tchaikovsky
Theatre;Teatras
Theatre Music;Teatro muzika
Telemann;Telemann
Timbre ;Tembras
Tempo;Tempas
Tenoro;Tenoras
Timpani;Timpanai
Tonality;Tonacija
Tonality ;Tonacija
Tonic ;Tonika
Traditional Music;Tradicinė muzika
Streaming ;Transliavimas
Invert Triads;Trigarsiai
Triplet;Trigubas
Triangle;Trikampis
Trumpet;Trimitas
Trio ;Trio
Thirty-second note ;Trisdešimt antra nata
Thirty-second note rest;Trisdešimt antras intervalas
Demisemiquaver rest;Trisdešimt antrasis intervalas
Demisemiquaver;Trisdešimt antroji nata
Trombone;Trombonas
Troubadours and trouvères;Trubadūrai ir
Tuba;Tūba
French Horn;Valtorna
Organ;Vargonai
Bell;Varpelis
Range of activities;Veiklos sritys
Late Romantic era;Vėlyvoji romantinė era
Verdi;Verdi
Appraising, responding & reviewing;Vertinimas, atsakymas bei peržiūra
Middle Romantic era;Vidurinioji romantinė era
Cello;Violončelė
Whole Tone Scale;Visa tonų skalė
Whole;Visas
Vivaldi;Vivaldi
Vocal Music;Vokalo muzika
Wagner;Wagner
WAV;WAV
Xenakis;Xenakis
Human;Žmogus
Lyrics;Žodžiai
Notation / Music Theory / Harmony/Musical Morphology;Žymėjimas / muzikos teorijos / Harmonija / Muzikos Morfologija
Notation ;Žymėjimo ženklas

