Polygon of frequencies;Πολύγωνο συχνοτήτων
Polyhedron;Πολύεδρο
Polynomial Inequality;Πολυωνυμική ανισότητα
Polynomial graph;Πολυωνυμική γραφική παράσταση
Polynomial function;Πολυωνυμική συνάρτηση
Percentage;Ποσοστό
Real Analysis;Πραγματική Ανάλυση
Real number;Πραγματικός αριθμός
Prism;Πρίσμα
Real world problem;Πρόβλημα από τον πραγματικό κόσμο
Word problem;Πρόβλημα λέξεων
Problems from other subjects;Προβλήματα από άλλα αντικείμενα
Projection;Προβολή
Programmable Calculator;Προγραμματιζόμενος υπολογιστής τσέπης
Perspective projection;Προοπτική προβολή
Approximate value;Προσεγγιστική τιμή
Simulation;Προσομοίωση
Template;Πρότυπο
Primes;Πρώτοι
Probability density;Πυκνότητα πιθανότητας
Pyramid;Πυραμίδα
Bar chart;Ραβδόγραμμα
Rational Function;Ρητή συνάρτηση
Rational Number;Ρητός αριθμός
Sequence;Σειρά   
Fibonacci Sequence;Σειρά Fibonacci
Statistical data;Στατιστικά δεδομένα
Statistics;Στατιστική
Statistical analysis;Στατιστική ανάλυση
Statistics and Probability;Στατιστική και Πιθανότητα
Statistical range;Στατιστικό εύρος
Statistical table;Στατιστικός πίνακας
Solid objects;Στερεά αντικείμενα
Revolution Solid;Στερεό εκ περιστροφής
RevolutionSolid;Στερεό εκ περιστροφής
Solid Geometry;Στερεομετρία
Elementary plane geometry;Στοιχειώδης επιπεδομετρία
Data collect;Συλλογή δεδομένων
Symbolic Expression;Συμβολική έκφραση
Symbol;Σύμβολο
Reflection;Συμμετρία
Reflection in a plane;Συμμετρία σε επίπεδο
Reflection in a line;Συμμετρία σε ευθεία
Reflection in a point;Συμμετρία σημείου
Conformal Mappings;Σύμμορφες απεικόνισεις
Function;Συνάρτηση
Functional Analysis;Συναρτησιακή Ανάλυση
Combinatorics;Συνδιαστική
Combinations;Συνδυασμοί
Continuity and discontinuity;Συνέχεια και ασυνέχεια
Continuous random variable;Συνεχής τυχαία μεταβλητή
Cosine;Συνημίτονο
Polyhedron composition;Σύνθεση πολυέδρου
Complex Analysis;Σύνθετη Ανάλυση
Complex event;Σύνθετο γεγονός
Sets and Set Operations;Σύνολα και Πράξεις Συνόλων
Summary statistics;Συνοπτικά στατιστικά στοιχεία
Coordinates;Συντεταγμένες
Coordinates of a point;Συντεταγμένες σημείου
x coordinate of point;συντεταγμένη σημείου x
y-coordinate of point;συντεταγμένη σημείου y
Linear equations system;Σύστημα γραμμικών εξισώσεων
System with two equations and two unknowns;Σύστημα δύο εξισώσεων και δύο αγνώστων
System of equations;Σύστημα εξισώσεων
Frequency;Συχνότητα
Frequencies;Συχνότητες
Sphere;Σφαίρα
Fallacy;Σφαλερότητα
Function Plotter;Σχεδιαστής συναρτήσεων
Dependency relation;Σχέση εξάρτησης
Relative frequency;Σχετική συχνότητα
ordinal numbers;Τακτικοί αριθμοί
Identity;Ταυτότητα
Quartile;Τεταρτημόριο
Square root;Τετραγωνική ρίζα
Square Number;Τετραγωνικός αριθμός
Tetrahedron;Τετράεδρο
Graphing Techniques;Τεχνικές Γραφημάτων
Piecewise-function;Τμηματική συνάρτηση
Intersections with the axis;Τομές με τον άξονα
Local and global description of a plot;τοπική και ολική περιγραφή γραφήματος
ThreeD Object;Τριασδιάστατο Αντικείμενο
Trigonometric function;Τριγωνομετρική συνάρτηση
Trigonometric ratio;Τριγωνομετρικός λόγος
ThreeD coordinates;Τρισδιάστατες συντεταγμένες
Mode;Τρόπος
Standard deviation;Τυπική απόκλιση
Formula;Τύπος
Formula for angle;Τύπος γωνίας
Formula for area;Τύπος εμβαδού
Formula for length;Τύπος μήκους
Formula for volume;Τύπος όγκου
Formula of a function;Τύπος συνάρτησης
Random sampling;Τυχαία δειγματοληψία
Random process;Τυχαία διαδικασία
Random variable;Τυχαία μεταβλητή
Random sample;Τυχαίο δείγμα
Randomness;Τυχαιότητα
Hyperbola;Υπερβολή
Hyperbolic function;Υπερβολική συνάρτηση
Hypothesis;Υπόθεση
Remainder;Υπόλοιπο
Bound;Φράγμα
Bounded operators;Φραγμένοι τελεστές
Natural number;Φυσικός αριθμός
Ruler;Χάρακας
Data chart features;Χαρακτηριστικά γράφηματος δεδομένων
Function plot features;Χαρακτηριστικά γραφήματος συνάρτησης
Function attribute;Χαρακτηριστικό συνάρτησης
Inner product spaces;Χώροι εσωτερικού γινομένου

