Procedures/macros/templates;Proseduurit/makrot/mallit
Processor;Prosessori
Limitations/advantages;Rajoitukset/edut
Robotics;Robotiikka
Spam;Roskaposti
Electronic journal;Sähköinen aikakausjulkaisu
Security for Electronic Transaction - SET;Sähköisten maksutapahtumien turvallisuus – SET
E-book readers & other gadgets;Sähkökirjojen lukulaitteet & muut pienlaitteet
E-mail;Sähköposti
Password security;Salasanaturvallisuus
Dictionary;Sanakirja
Vocabulary;Sanasto
Screencast;Screencast
Sequencing;Sekvensointi
Sensors & software Appropriate/not appropriate;Sensorit & ohjelmistot Sopiva / ei sopiva
Simulating;Simulointi
Appropriate/not appropriate;Sopiva / ei sopiva
Social networking;Sosiaalinen verkostoituminen
Using applications;Sovellusten käyttö
Still images - generally;Stillkuvat – yleisesti
Still images: bitmap graphics;Stillkuvat : bittikarttagrafiikka
Still images: graphs;Stillkuvat: graafit
Still images: pictograms;Stillkuvat: piktogrammit
Still images: vector graphics;Stillkuvat: vektorigrafiikka
Relationships & rules;Suhteet & säännöt
Design;Suunnittelu
Input;Syöttö
Planning what data to record;Tallennettavan tiedon suunnittelu
Retrieving information that has been stored;Tallennetun tiedon nouto
Storage devices;Tallennuslaitteet
Automating events;Tapahtumien automatisointi
Reviewing and reflecting critically on what people produce using ICT;Tarkastellaan ja pohditaan kriittisesti mitä ihmiset tuottavat ICT:n avulla
Copyright;Tekijänoikeudet
History of technology;Tekniikan historia
Technology;Teknologia
Technological education;Teknologiakasvatus
Technological change;Teknologinen muutos
Changing technologies;Teknologioiden muutos
Artificial intelligence;Tekoäly
Text;Teksti
Processing text & images;Tekstin & kuvien käsittely
Use text, tables, images and sound to develop ideas;Tekstin, talukoiden, kuvien ja äänen käyttäminen ajatusten kehittämiseksi
Contextualised use of text/image processing;Tekstin/kuvien käsittelyn kontekstuaalinen käyttö
Word processing software;Tekstinkäsittelyohjelmat
Terminology;Terminologia
Understanding of terminology;Terminologian ymmärtäminen
Health & safety legislation;Terveys- & turvallisuuslainsäädäntö
Presentation of information & data;Tiedon & datan esittäminen
Use & misuse of data;Tiedon käyttö & väärinkäyttö
Data Encryption;Tiedon koodaus salakieliseksi
Reading for information;Tiedon lukeminen
Information Owner;Tiedon omistaja
Synthesising information;Tiedon syntetisointi
Interpreting information;Tiedon tulkinta
Misuse of data;Tiedon väärinkäyttö
Information processing;Tiedonkäsittely
Information skills;Tiedonkäyttötaidot
Input & output devices;Tiedonsyöttö- & tulostuslaiteet
File transfer protocol (FTP);Tiedostonsiirtoprotokolla (FTP)
Collecting information;Tiedunkeruu
Using ICT;Tieto- ja viestintätekniikan käyttö
Select and use ICT tools and techniques appropriately, safely and efficiently;Tieto- ja viestintäteknisten välineiden ja tekniikoiden asianmukainen, turvallinen ja tehokas valinta ja käyttö
