Music;Ceol
Semiquaver;Leath chamán
Sharp;Géar
Sheet Music;Bileog cheoil
Si;Si
Sixteenth note;Sédéagú nóta
Sixth and Ninth Chords;Corda séach/naoch
Sixty-fourth note  ;Seascaceathrú nóta
Sixty-fourth note rest;Sos an seascaceathrú nóta
Sol;Sól
Song;Ámhrán
Sonata ;Sonáid
Space ;Spás
Staccato ;Staccato
Staff;Cliath
Sus2 and sus4 Chords;Cordaí-Sus2  agus Sus4
Symphony ;Siansa
Table of Key Signature;Tábla eochrach chomhartha
Tempo;Tempo/luas
Thirty-second note ;Triochadóú nóta
Thirty-second note rest;Triochadóú nóta-sos
Ti;Ti
Tie ;Nasc
Timbre ;Tondadth
Time Signature;Amchomhartha
Tonality ;Tonúlacht
Tonic ;Tonach
Treble ;Tribil
Trio ;Tríread
Triplet;Tríphléadach
Tuning;Tiúnadh
Voice;Guth
Whole;Lán
Whole note ;Lán nóta 
Whole rest;Lán sos
Whole Tone Scale;Scála lántónach
Musical features;Gnéithe ceoil
Musical elements & devices;Eilimintí agus feistí ceoil
Pitch/melody;Airde/seis
Structure: form;Struchtúr:foirm
Rhythm (duration), pulse/beat;Rithim(fad),pulsa/buille
Tonality/harmony;Tónúlacht/armóin
Instruments & performers;Úirlsí agus ceolteoirí/aithriseoirí
Musical expression;Léiriú ceolmhar
Music and Science;Ceil agus Eolaiocht
Physics;Fisic
Waves;Tonnta
Music and Physics;Ceol aggus fisic
Pitch;Airde
Waveforms;Tonnchrutha
Harmonics;Armónachaí
Wave nodes;Nódtonnta
Acoustics;Éisteacht/Fuaimíocht
Frequency;Minicíocht
Sound spectrum;Fuaim speictream
Instrument building / making;Úirlisí-tógail agus déanamh
Medicine, Psychology;Leigheas, Siceolaíocht
Psychoacoustics;Foghraíocht
Music Therapy;Foghareolaíocht
Music Psychology;Foghraíocht
Linguistics;Foghareolaíocht
Phonetics;Foghraíocht
Phonology;Foghareolaíocht
Ethnomusicology;Eitnicheolmhar
Sociomusicology;Sochceoleolaíocht
Music and Mathematics;Ceol agus Matamaitic
Music and ICT;Ceol agus TFC
Music and ICT hardware;Ceol agus crua earraí TFC
Dolby surround;Colbha Dolby
Synthesizer;Sintéiseoir
Loudspeaker;Callaire
Earphones;Cluasáin
Sequencer;Seicheamhóir
Tape recording;Téip taifead
Digital Audio Recorder;Taifeadán digiteach fuaime
Microphone;Micreafón
Music and ICT software;Ceol agus bogearraíTFC
Digital sound editing;Eagarthóireaacht fuaime digiteach
MP3;MP3
WAV;WAV
Notation Software;Bogearraí nodaireachta
Music recording;Taifead ceol
Music editing;Ceol-Eagarthóireaacht 
Track;Rian ceoil
Streaming ;Sruthú
Music and ICT terms;Ceol agus téarmaí TFC
Online performance ;Seinm ar an líne
Digital sound recording;Taifead digiteaach fuaime
Music Videoconference Loop;Lúbóg Físchomhdháil ceol
Music Software;Bogearraí ceoil
Music e-learning ;Ceol r-foghlaim
M.I.D.I (Musical Instrument Digital Interface);Uirlis ceoil digiteach comhéadan MIDI
General MIDI;MIDI  ginearálta
Sound oscillator / Envelope;  Ascaltóir fuaime
Sound recognition;Aitheantas fuaime
Sound analysis;Anailisiú fuaime
Computer-enhanced Music;Ceol ríomhaire feabhsaithe
Music analysis ;Anailsiú ceoil
Computer Music;Ceol ríomhaire 
Sound retrieval;Aisghabháil fuaime
