Music;Musique
Rehearsing;Répéter
Responding & reviewing;Répondre et évaluer
Note values;Représentation des durées en musiques
Rhapsody ;Rhapsodie
Rhythm ;Rhythme
Whole;Ronde
Rossini ;Rossini
Rhythm (duration), pulse/beat;Rythme (durée) impulsion/battement
Saint Romanos the Melodist;Saint Romain le Mélode
Saint Saens;Saint Saens
Salieri;Salieri
Concert Hall;Salle de concert
Chamber Music Hall;Salle de concert de musique de chambre
Saxophone;Saxophone
Music Stage;Scène
Schoenberg;Schoenberg
Schubert;Schubert
Schumann;Schumann
Music and Science;Science et la musique
Scriabin;Scriabin
Recalling music: aural memory;Se rappeler une musique : mémoire auditive
Sixty-fourth note rest;Seizième de soupir
Practising;S'entraîner
Sequencer;Séquenceur
Serialism;Sérialisme
B;Si
Si;Si
Sibelius;Sibelius
Time Signature;Signature de temps
Crotchet rest;Silence
Dotted Rest;Silence
Rest;Silence
Skalkotas;Skalkotas
Sociomusicology;Sociomusicologie
G;Sol
Sol;Sol
Sonata ;Sonate
Soprano;Soprano
Sound spectrum;Spectre sonore
Staccato ;Staccato/piqué
Stamitz;Stamitz
Musical stimuli;Stimuli musical
Non-musical stimuli;Stimuli non musical
Strauss;Strauss
Structure: form;Structure : forme
General styles & traditions;Styles générales et traditions
Symphony ;Symphonie
Synthesizer;Synthétiseur
Synthesizer / Electric Piano;Synthétiseur
Pentatonic Scale;Système pentatonique
Table of Key Signature;Table d'armures
Tambourine;Tambourin
Tchaikovsky;Tchaikovsky
Telemann;Telemann
Tempo;Tempo
Tenoro;Tenor
Music and ICT terms;Termes de musique et ICT
Theatre;Théâtre
Timpani;Timbales
Timbre ;Timbre
Tonality;Tonalité
Tonality ;Tonalité
Tonality/harmony;Tonalité/harmonie
Tonic ;Tonique
Streaming ;Transmission en continu
Triangle;Triangle
Trio ;Trio
Triplet;Triolet
Demisemiquaver;Triple-croche
Thirty-second note ;Triple-croche
Trombone;Trombone
Trumpet;Trompette
Troubadours and trouvères;Troubadours et trouvères
Tuba;Tuba
Ukulele;Ukulélé
Using the voice;Utiliser la voix
Verdi;Verdi
Music Videoconference Loop;Vidéoconférence musicale en boucle
Violin;Violon
Cello;Violoncelle
Vivaldi;Vivaldi
Voice;Voix
Wagner;Wagner
WAV;WAV
Xenakis;Xenakis
Xylophone;Xylophone

